Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2007-12-11,273359,76671,1234,75437,27.596
2007-12-18,282010,75110,4830,70280,24.921
2007-12-24,277461,73335,4547,68788,24.792
2007-12-31,265428,67273,4495,62778,23.652
2008-01-08,256025,65703,2954,62749,24.509
2008-01-15,266205,60182,5826,54356,20.419
2008-01-22,269069,52738,8015,44723,16.621
2008-01-29,269258,46046,8345,37701,14.002
2008-02-05,268161,46908,7806,39102,14.582
2008-02-12,270010,47679,8889,38790,14.366
2008-02-19,269766,48901,7819,41082,15.229
2008-02-26,272634,50700,6487,44213,16.217
2008-03-04,269485,51562,4655,46907,17.406
2008-03-11,257290,36754,5424,31330,12.177
2008-03-18,255117,31452,10395,21057,8.254
2008-03-25,253447,27073,11325,15748,6.214
2008-04-01,258298,31693,6681,25012,9.683
2008-04-08,256508,30925,6250,24675,9.62
2008-04-15,251581,33246,5647,27599,10.97
2008-04-22,253695,36334,7798,28536,11.248
2008-04-29,237457,32837,9632,23205,9.772
2008-05-06,227040,32488,6330,26158,11.521
2008-05-13,224080,35493,6317,29176,13.02
2008-05-20,227259,31723,4481,27242,11.987
2008-05-27,226749,33467,4541,28926,12.757
2008-06-03,229375,36205,4132,32073,13.983
2008-06-10,237204,41402,3064,38338,16.162
2008-06-17,258011,51770,2237,49533,19.198
2008-06-24,245244,55538,2363,53175,21.682
2008-07-01,252731,54854,2222,52632,20.825
2008-07-08,248842,49674,3681,45993,18.483
2008-07-15,248332,48563,3230,45333,18.255
2008-07-22,231748,39375,8226,31149,13.441
2008-07-29,209604,32418,2747,29671,14.156
2008-08-05,212919,31163,3496,27667,12.994
2008-08-12,210028,26297,3062,23235,11.063
2008-08-19,201944,24894,2550,22344,11.064
2008-08-26,194596,28818,1797,27021,13.886
2008-09-02,193722,29148,2179,26969,13.921
2008-09-09,196382,25596,5264,20332,10.353
2008-09-16,194064,22992,7308,15684,8.082
2008-09-23,185840,21951,5365,16586,8.925
2008-09-30,181634,20779,9393,11386,6.269
2008-10-07,186640,19003,12820,6183,3.313
2008-10-14,188356,14883,12673,2210,1.173
2008-10-21,194116,14695,11953,2742,1.413
2008-10-28,186507,14410,8622,5788,3.103
2008-11-04,181888,12628,9068,3560,1.957
2008-11-11,173536,11902,8260,3642,2.099
2008-11-18,171840,10392,7230,3162,1.84
2008-11-25,148352,10611,6736,3875,2.612
2008-12-02,143368,9138,8753,385,0.269
2008-12-09,142327,9345,10349,-1004,0.705
2008-12-16,141451,10191,9477,714,0.505
2008-12-22,139650,11246,9153,2093,1.499
2008-12-30,132666,12970,5302,7668,5.78
2009-01-06,135183,14663,6097,8566,6.337
2009-01-13,134946,15732,5566,10166,7.533
2009-01-20,138180,16150,4318,11832,8.563
2009-01-27,146117,20023,2640,17383,11.897
2009-02-03,150542,20745,3039,17706,11.762
2009-02-10,149943,21225,3002,18223,12.153
2009-02-17,143787,16246,4438,11808,8.212
2009-02-24,129294,13025,7651,5374,4.156
2009-03-03,129705,14400,10588,3812,2.939
2009-03-10,124178,16593,11853,4740,3.817
2009-03-17,125278,18288,7812,10476,8.362
2009-03-24,129749,21838,4793,17045,13.137
2009-03-31,126448,22411,3998,18413,14.562
2009-04-07,132363,22868,6007,16861,12.738
2009-04-14,140410,28645,4278,24367,17.354
2009-04-21,151754,38414,4041,34373,22.65
2009-04-28,147616,36005,3612,32393,21.944
2009-05-05,163069,44278,1715,42563,26.101
2009-05-12,173458,43482,2783,40699,23.463
2009-05-19,195351,49757,1461,48296,24.723
2009-05-26,210179,55419,1619,53800,25.597
2009-06-02,217520,57680,1143,56537,25.992
2009-06-09,230949,57770,1018,56752,24.573
2009-06-16,230362,56914,838,56076,24.343
2009-06-23,219819,49304,1441,47863,21.774
2009-06-30,207297,49332,1683,47649,22.986
2009-07-07,203640,40453,4520,35933,17.645
2009-07-14,197483,33847,6038,27809,14.082
2009-07-21,195806,32579,4899,27680,14.136
2009-07-28,196856,36576,3866,32710,16.616
2009-08-04,201754,41952,1994,39958,19.805
2009-08-11,202771,45746,2932,42814,21.114
2009-08-18,188898,40207,3774,36433,19.287
2009-08-25,182479,39547,1741,37806,20.718
2009-09-01,178427,39885,2386,37499,21.016
2009-09-08,177601,36370,4317,32053,18.048
2009-09-15,184224,37919,2834,35085,19.045
2009-09-22,177893,34141,4200,29941,16.831
2009-09-29,170629,34394,3227,31167,18.266
2009-10-06,172182,34668,6577,28091,16.315
2009-10-13,173769,42207,7781,34426,19.811
2009-10-20,171954,40722,7752,32970,19.174
2009-10-27,171630,37329,8973,28356,16.522
2009-11-03,178582,40313,3097,37216,20.84
2009-11-09,177437,37884,5971,31913,17.986
2009-11-17,187729,41197,7475,33722,17.963
2009-11-24,186533,49046,6201,42845,22.969
2009-12-01,183463,52694,7115,45579,24.844
2009-12-08,181375,52313,10057,42256,23.298
2009-12-15,195146,55905,11604,44301,22.701
2009-12-22,187818,46665,11685,34980,18.624
2009-12-29,177304,46370,10784,35586,20.071
2010-01-05,183795,52017,10910,41107,22.366
2010-01-12,185815,48683,12079,36604,19.699
2010-01-19,189823,46025,10230,35795,18.857
2010-01-26,199811,48118,13779,34339,17.186
2010-02-02,211321,44265,19043,25222,11.935
2010-02-09,229359,42980,23370,19610,8.55
2010-02-16,231600,45323,22459,22864,9.872
2010-02-23,224551,46542,17721,28821,12.835
2010-03-02,221388,43976,20600,23376,10.559
2010-03-09,229233,40258,29226,11032,4.813
2010-03-16,233782,42039,29414,12625,5.4
2010-03-23,225957,42644,21124,21520,9.524
2010-03-30,228728,46886,15537,31349,13.706
2010-04-06,220517,45039,19275,25764,11.683
2010-04-13,224132,44870,19593,25277,11.278
2010-04-20,241328,50685,16337,34348,14.233
2010-04-27,221547,58388,8483,49905,22.526
2010-05-04,216224,62533,11481,51052,23.611
2010-05-11,207165,53574,10315,43259,20.881
2010-05-18,200910,47271,8707,38564,19.195
2010-05-25,195487,40353,6750,33603,17.189
2010-06-01,192248,39516,7254,32262,16.781
2010-06-08,197731,42307,3630,38677,19.56
2010-06-15,214638,54935,6377,48558,22.623
2010-06-22,227092,59297,8245,51052,22.481
2010-06-29,212042,62341,7020,55321,26.09
2010-07-06,210512,56160,8006,48154,22.875
2010-07-13,219145,65839,4113,61726,28.167
2010-07-20,229129,69725,7566,62159,27.128
2010-07-27,215673,68721,6098,62623,29.036
2010-08-03,215277,71229,5649,65580,30.463
2010-08-10,222805,73125,5927,67198,30.16
2010-08-17,233051,77474,6185,71289,30.589
2010-08-24,228579,72157,4980,67177,29.389
2010-08-31,234433,79980,7571,72409,30.887
2010-09-07,241088,80944,7629,73315,30.41
2010-09-14,233291,71717,5560,66157,28.358
2010-09-21,246697,77419,6111,71308,28.905
2010-09-28,239829,74186,8047,66139,27.578
2010-10-05,221179,56945,11214,45731,20.676
2010-10-12,233016,56659,10043,46616,20.005
2010-10-19,241723,56856,10353,46503,19.238
2010-10-26,244638,52855,9254,43601,17.823
2010-11-02,248875,52783,10499,42284,16.99
2010-11-09,251173,51656,4858,46798,18.632
2010-11-16,244567,40946,6901,34045,13.921
2010-11-23,256737,42497,7700,34797,13.554
2010-11-30,227793,41557,8003,33554,14.73
2010-12-07,228589,42166,9267,32899,14.392
2010-12-14,228335,41611,9687,31924,13.981
2010-12-21,231389,47495,8841,38654,16.705
