Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2010-11-16,634365,61989,68655,-6666,1.051
2010-11-23,626413,57728,64611,-6883,1.099
2010-11-30,525597,57073,63986,-6913,1.315
2010-12-07,582777,77181,51903,25278,4.338
2010-12-14,583067,80433,47838,32595,5.59
2010-12-21,591973,78645,46479,32166,5.434
2010-12-28,596899,83331,46789,36542,6.122
2011-01-04,609012,84009,45071,38938,6.394
2011-01-11,616244,81537,44458,37079,6.017
2011-01-18,633208,79402,47468,31934,5.043
2011-01-25,669836,91802,47930,43872,6.55
2011-02-01,684217,93271,49863,43408,6.344
2011-02-08,722923,98641,46854,51787,7.164
2011-02-15,698258,90063,50022,40041,5.734
2011-02-22,626895,74447,57397,17050,2.72
2011-03-01,609322,65544,48074,17470,2.867
2011-03-08,614599,65570,44613,20957,3.41
2011-03-15,636214,67204,45273,21931,3.447
2011-03-22,625992,62592,49011,13581,2.17
2011-03-29,625863,62790,48577,14213,2.271
2011-04-05,642134,67778,43685,24093,3.752
2011-04-12,633461,67965,41604,26361,4.161
2011-04-19,628819,72809,45206,27603,4.39
2011-04-26,592679,79451,43183,36268,6.119
2011-05-03,578531,79149,49399,29750,5.142
2011-05-10,580373,76066,51930,24136,4.159
2011-05-17,579090,67004,55798,11206,1.935
2011-05-24,581523,72672,44075,28597,4.918
2011-05-31,582926,72653,39994,32659,5.603
2011-06-07,584243,66520,46066,20454,3.501
2011-06-14,577958,64516,56958,7558,1.308
2011-06-21,602487,61438,70008,-8570,1.422
2011-06-28,522822,63049,69706,-6657,1.273
2011-07-05,536561,61649,76946,-15297,2.851
2011-07-12,541783,60975,70681,-9706,1.791
2011-07-19,535772,61979,66294,-4315,0.805
2011-07-26,526288,59671,69831,-10160,1.931
2011-08-02,538933,61211,73100,-11889,2.206
2011-08-09,534448,60834,73514,-12680,2.373
2011-08-16,547399,65455,68254,-2799,0.511
2011-08-23,550790,68869,64490,4379,0.795
2011-08-30,491397,66875,53218,13657,2.779
2011-09-06,482921,63846,50351,13495,2.794
2011-09-13,490790,56674,67824,-11150,2.272
2011-09-20,508587,56423,81331,-24908,4.897
2011-09-27,513744,54340,90555,-36215,7.049
2011-10-04,526548,53741,85698,-31957,6.069
2011-10-11,524518,53644,83949,-30305,5.778
2011-10-18,541878,54759,92610,-37851,6.985
2011-10-25,537170,59045,87720,-28675,5.338
2011-11-01,543834,57613,93153,-35540,6.535
2011-11-08,535772,57795,83952,-26157,4.882
2011-11-15,522496,55634,92486,-36852,7.053
2011-11-22,514755,51874,102456,-50582,9.826
2011-11-29,416371,52862,96065,-43203,10.376
2011-12-06,429051,60170,98848,-38678,9.015
2011-12-13,434641,57412,100461,-43049,9.904
2011-12-20,444998,59188,101076,-41888,9.413
2011-12-27,451421,60895,90147,-29252,6.48
2012-01-03,463614,58681,85778,-27097,5.845
2012-01-10,484495,57875,93544,-35669,7.362
2012-01-17,519752,55221,104717,-49496,9.523
2012-01-24,547226,65566,114431,-48865,8.93
2012-01-31,550005,74232,105936,-31704,5.764
2012-02-07,544753,68310,99179,-30869,5.667
2012-02-14,529906,68132,112573,-44441,8.387
2012-02-21,549844,68620,125886,-57266,10.415
2012-02-28,513096,72527,120523,-47996,9.354
2012-03-06,513529,73357,100001,-26644,5.188
2012-03-13,525871,70844,110658,-39814,7.571
2012-03-20,542006,73002,106545,-33543,6.189
2012-03-27,545301,74343,105735,-31392,5.757
2012-04-03,580296,77750,109767,-32017,5.517
2012-04-10,581365,75512,117976,-42464,7.304
2012-04-17,584831,72631,124971,-52340,8.95
2012-04-24,552704,80873,122989,-42116,7.62
2012-05-01,524875,87249,112276,-25027,4.768
2012-05-08,539421,83583,129770,-46187,8.562
2012-05-15,541852,83475,133532,-50057,9.238
2012-05-22,545554,82724,75698,7026,1.288
2012-05-29,546285,85835,70250,15585,2.853
2012-06-05,550696,86872,89421,-2549,0.463
2012-06-12,541758,91023,97390,-6367,1.175
2012-06-19,543269,94197,99379,-5182,0.954
2012-06-26,509752,106848,66654,40194,7.885
2012-07-03,541794,108181,54771,53410,9.858
2012-07-10,570102,114379,51911,62468,10.957
2012-07-17,623717,123899,51224,72675,11.652
2012-07-24,652469,129689,50040,79649,12.207
2012-07-31,635641,130831,52919,77912,12.257
2012-08-07,638620,133421,52594,80827,12.657
2012-08-14,621040,130098,52994,77104,12.415
2012-08-21,648534,131476,54715,76761,11.836
2012-08-28,576076,127204,58620,68584,11.905
2012-09-04,584996,133941,61520,72421,12.38
2012-09-11,589518,134151,65177,68974,11.7
2012-09-18,600714,129350,68809,60541,10.078
2012-09-25,596617,128246,62938,65308,10.946
2012-10-02,602272,121438,63241,58197,9.663
2012-10-09,600139,113211,65433,47778,7.961
2012-10-16,605344,107658,62267,45391,7.498
2012-10-23,606751,116134,60865,55269,9.109
2012-10-30,602585,113675,65165,48510,8.05
2012-11-06,607813,110972,62541,48431,7.968
2012-11-13,636334,117711,67216,50495,7.935
2012-11-20,638623,100261,68211,32050,5.019
2012-11-27,521903,106054,62831,43223,8.282
2012-12-04,508698,95713,61284,34429,6.768
2012-12-11,516840,88208,76989,11219,2.171
2012-12-18,528529,83951,90384,-6433,1.217
2012-12-24,532424,80998,92897,-11899,2.235
2012-12-31,548370,78991,98142,-19151,3.492
2013-01-08,579623,80047,97882,-17835,3.077
2013-01-15,571418,77983,95901,-17918,3.136
2013-01-22,575407,77692,98600,-20908,3.634
2013-01-29,562941,81189,98865,-17676,3.14
2013-02-05,584442,89848,117524,-27676,4.735
2013-02-12,616980,84103,116518,-32415,5.254
2013-02-19,612444,74906,124129,-49223,8.037
2013-02-26,543875,76810,122176,-45366,8.341
2013-03-05,563026,80798,127084,-46286,8.221
2013-03-12,585424,85223,126742,-41519,7.092
2013-03-19,577068,87440,120897,-33457,5.798
2013-03-26,586145,92566,114348,-21782,3.716
2013-04-02,583881,80560,115586,-35026,5.999
2013-04-09,588563,84853,106947,-22094,3.754
2013-04-16,590154,80906,108084,-27178,4.605
2013-04-23,582612,82143,103013,-20870,3.582
2013-04-30,534939,88469,94248,-5779,1.08
2013-05-07,541317,82194,92638,-10444,1.929
2013-05-14,532701,81048,98273,-17225,3.234
2013-05-21,544873,77401,117848,-40447,7.423
2013-05-28,537254,78275,114442,-36167,6.732
2013-06-04,546503,88031,105630,-17599,3.22
2013-06-11,536081,86731,103428,-16697,3.115
2013-06-18,539491,84096,113527,-29431,5.455
2013-06-25,476917,86915,106235,-19320,4.051
2013-07-02,511032,79373,129525,-50152,9.814
2013-07-09,501501,82385,130229,-47844,9.54
2013-07-16,499170,90080,124341,-34261,6.864
2013-07-23,506705,89501,138163,-48662,9.604
2013-07-30,503559,94436,135204,-40768,8.096
2013-08-06,512932,95983,143318,-47335,9.228
2013-08-13,532112,100792,144788,-43996,8.268
2013-08-20,517110,99127,142068,-42941,8.304
2013-08-27,458172,99162,129205,-30043,6.557
2013-09-03,447423,96388,134778,-38390,8.58
2013-09-10,447125,95228,142236,-47008,10.513
2013-09-17,449725,93005,143887,-50882,11.314
2013-09-24,450570,97825,132825,-35000,7.768
2013-10-01,454515,98059,94836,3223,0.709
2013-10-08,466026,104977,84928,20049,4.302
2013-10-15,465737,104323,82247,22076,4.74
2013-10-22,479860,109146,79943,29203,6.086
2013-10-29,455749,100828,87889,12939,2.839
2013-11-05,459736,87305,106840,-19535,4.249
2013-11-12,500998,90980,138231,-47251,9.431
2013-11-19,518009,91741,146940,-55199,10.656
2013-11-26,450072,93726,159767,-66041,14.673
2013-12-03,453589,91449,155462,-64013,14.113
2013-12-10,465509,86654,156115,-69461,14.922
2013-12-17,488060,85049,156763,-71714,14.694
2013-12-24,503814,87351,157183,-69832,13.861
2013-12-31,500015,87711,159179,-71468,14.293
2014-01-07,508765,88068,161156,-73088,14.366
2014-01-14,537899,93902,150384,-56482,10.5
2014-01-21,572239,91725,148296,-56571,9.886
2014-01-28,571942,90807,153308,-62501,10.928
2014-02-04,570981,96132,149095,-52963,9.276
2014-02-11,569751,94785,138010,-43225,7.587
2014-02-18,556645,90342,124744,-34402,6.18
2014-02-25,473752,84841,105152,-20311,4.287
2014-03-04,452194,84443,90483,-6040,1.336
2014-03-11,458963,88188,77673,10515,2.291
2014-03-18,492513,90107,66071,24036,4.88
2014-03-25,504890,97076,60584,36492,7.228
2014-04-01,511982,98564,53539,45025,8.794
2014-04-08,524939,99192,56003,43189,8.227
2014-04-15,523421,93059,54849,38210,7.3
2014-04-22,517972,86201,59111,27090,5.23
2014-04-29,465439,97338,54748,42590,9.151
2014-05-06,480934,97097,51832,45265,9.412
2014-05-13,490108,99995,54688,45307,9.244
2014-05-20,504797,91698,67262,24436,4.841
2014-05-27,502691,92130,72415,19715,3.922
2014-06-03,524221,82450,81413,1037,0.198
2014-06-10,546175,70794,97929,-27135,4.968
2014-06-17,560434,68677,97619,-28942,5.164
2014-06-24,457050,69003,109439,-40436,8.847
2014-07-01,458579,73248,113962,-40714,8.878
2014-07-08,484655,74180,118476,-44296,9.14
2014-07-15,524137,70256,116751,-46495,8.871
2014-07-22,550730,73852,128371,-54519,9.899
2014-07-29,552879,72708,144676,-71968,13.017
2014-08-05,551200,75597,142630,-67033,12.161
2014-08-12,541583,75068,136192,-61124,11.286
2014-08-19,535554,77251,127919,-50668,9.461
2014-08-26,477908,79872,126670,-46798,9.792
2014-09-02,467810,78577,130437,-51860,11.086
2014-09-09,488155,75523,137409,-61886,12.678
2014-09-16,516580,73725,140991,-67266,13.021
2014-09-23,554993,75121,154049,-78928,14.221
2014-09-30,551297,81075,152376,-71301,12.933
2014-10-07,548921,80662,148632,-67970,12.382
