Report Date,Commodity,Region,Attribute,Value,Unit
2000-02-11,Corn,World,Beginning Stocks,109.32,Million Metric Tons
2000-02-11,Corn,World,Production,599.93,Million Metric Tons
2000-02-11,Corn,World,Imports,76.58,Million Metric Tons
2000-02-11,Corn,World,Feed,423.23,Million Metric Tons
2000-02-11,Corn,World,Total Use,600.87,Million Metric Tons
2000-02-11,Corn,World,Exports,80.34,Million Metric Tons
2000-02-11,Corn,World,Ending Stocks,108.38,Million Metric Tons
2000-02-11,"Meal, Soybeans",United States,Beginning Stocks,0.3,Million Metric Tons
2000-02-11,"Meal, Soybeans",United States,Production,34.51,Million Metric Tons
2000-02-11,"Meal, Soybeans",United States,Imports,0.05,Million Metric Tons
2000-02-11,"Meal, Soybeans",United States,Total Use,28.26,Million Metric Tons
2000-02-11,"Meal, Soybeans",United States,Exports,6.35,Million Metric Tons
2000-02-11,"Meal, Soybeans",United States,Ending Stocks,0.25,Million Metric Tons
2000-02-11,"Meal, Soybeans",Major Exporters,Beginning Stocks,1.41,Million Metric Tons
2000-02-11,"Meal, Soybeans",Major Exporters,Production,34.49,Million Metric Tons
2000-02-11,"Meal, Soybeans",Major Exporters,Imports,0.1,Million Metric Tons
2000-02-11,"Meal, Soybeans",Major Exporters,Total Use,8.73,Million Metric Tons
2000-02-11,"Meal, Soybeans",Major Exporters,Exports,26.11,Million Metric Tons
2000-02-11,"Meal, Soybeans",Major Exporters,Ending Stocks,1.16,Million Metric Tons
2000-02-11,"Meal, Soybeans",World,Beginning Stocks,4.39,Million Metric Tons
2000-02-11,"Meal, Soybeans",World,Production,106.2,Million Metric Tons
2000-02-11,"Meal, Soybeans",World,Imports,37.85,Million Metric Tons
2000-02-11,"Meal, Soybeans",World,Total Use,106.01,Million Metric Tons
2000-02-11,"Meal, Soybeans",World,Exports,38.72,Million Metric Tons
2000-02-11,"Meal, Soybeans",World,Ending Stocks,3.72,Million Metric Tons
2000-02-11,"Oil, Soybeans",United States,Beginning Stocks,0.69,Million Metric Tons
2000-02-11,"Oil, Soybeans",United States,Production,8.2,Million Metric Tons
2000-02-11,"Oil, Soybeans",United States,Imports,0.04,Million Metric Tons
2000-02-11,"Oil, Soybeans",United States,Total Use,7.21,Million Metric Tons
2000-02-11,"Oil, Soybeans",United States,Exports,0.75,Million Metric Tons
2000-02-11,"Oil, Soybeans",United States,Ending Stocks,0.97,Million Metric Tons
2000-02-11,"Oil, Soybeans",Major Exporters,Beginning Stocks,0.8,Million Metric Tons
2000-02-11,"Oil, Soybeans",Major Exporters,Production,9.74,Million Metric Tons
2000-02-11,"Oil, Soybeans",Major Exporters,Imports,0.77,Million Metric Tons
2000-02-11,"Oil, Soybeans",Major Exporters,Total Use,4.55,Million Metric Tons
2000-02-11,"Oil, Soybeans",Major Exporters,Exports,5.94,Million Metric Tons
2000-02-11,"Oil, Soybeans",Major Exporters,Ending Stocks,0.81,Million Metric Tons
2000-02-11,"Oil, Soybeans",World,Beginning Stocks,2.3,Million Metric Tons
2000-02-11,"Oil, Soybeans",World,Production,24.17,Million Metric Tons
2000-02-11,"Oil, Soybeans",World,Imports,7.4,Million Metric Tons
2000-02-11,"Oil, Soybeans",World,Total Use,24.13,Million Metric Tons
2000-02-11,"Oil, Soybeans",World,Exports,7.37,Million Metric Tons
2000-02-11,"Oil, Soybeans",World,Ending Stocks,2.37,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",United States,Beginning Stocks,9.48,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",United States,Production,71.93,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",United States,Imports,0.08,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",United States,Crush,43.54,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",United States,Total Use,47.88,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",United States,Exports,24.22,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",United States,Ending Stocks,9.39,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Argentina,Beginning Stocks,6.12,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Argentina,Production,19.5,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Argentina,Imports,0.5,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Argentina,Crush,17.8,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Argentina,Total Use,18.47,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Argentina,Exports,3.5,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Argentina,Ending Stocks,4.15,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Brazil,Beginning Stocks,6.0,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Brazil,Production,30.5,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Brazil,Imports,0.7,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Brazil,Crush,20.9,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Brazil,Total Use,23.1,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Brazil,Exports,9.3,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",Brazil,Ending Stocks,4.8,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",World,Beginning Stocks,24.01,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",World,Production,153.25,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",World,Imports,41.89,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",World,Crush,134.21,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",World,Total Use,156.93,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",World,Exports,41.28,Million Metric Tons
2000-02-11,"OilSeed, Soybeans",World,Ending Stocks,20.93,Million Metric Tons
2000-02-11,Wheat,United States,Beginning Stocks,25.74,Million Metric Tons
2000-02-11,Wheat,United States,Production,62.66,Million Metric Tons
2000-02-11,Wheat,United States,Imports,2.59,Million Metric Tons
2000-02-11,Wheat,United States,Feed,8.17,Million Metric Tons
2000-02-11,Wheat,United States,Total Use,35.27,Million Metric Tons
2000-02-11,Wheat,United States,Exports,28.58,Million Metric Tons
2000-02-11,Wheat,United States,Ending Stocks,27.14,Million Metric Tons
2000-02-11,Wheat,Major Exporters,Beginning Stocks,29.09,Million Metric Tons
2000-02-11,Wheat,Major Exporters,Production,161.74,Million Metric Tons
2000-02-11,Wheat,Major Exporters,Imports,25.18,Million Metric Tons
2000-02-11,Wheat,Major Exporters,Feed,54.55,Million Metric Tons
2000-02-11,Wheat,Major Exporters,Total Use,106.93,Million Metric Tons
2000-02-11,Wheat,Major Exporters,Exports,83.48,Million Metric Tons
2000-02-11,Wheat,Major Exporters,Ending Stocks,25.59,Million Metric Tons
2000-02-11,Wheat,World,Beginning Stocks,135.57,Million Metric Tons
2000-02-11,Wheat,World,Production,584.8,Million Metric Tons
2000-02-11,Wheat,World,Imports,124.48,Million Metric Tons
2000-02-11,Wheat,World,Feed,104.32,Million Metric Tons
2000-02-11,Wheat,World,Total Use,593.13,Million Metric Tons
2000-02-11,Wheat,World,Exports,125.26,Million Metric Tons
2000-02-11,Wheat,World,Ending Stocks,127.23,Million Metric Tons
2000-03-10,Corn,United States,Beginning Stocks,45.39,Million Metric Tons
2000-03-10,Corn,United States,Production,239.72,Million Metric Tons
2000-03-10,Corn,United States,Imports,0.38,Million Metric Tons
2000-03-10,Corn,United States,Feed,143.52,Million Metric Tons
2000-03-10,Corn,United States,Total Use,191.78,Million Metric Tons
2000-03-10,Corn,United States,Exports,49.53,Million Metric Tons
2000-03-10,Corn,United States,Ending Stocks,44.18,Million Metric Tons
2000-03-10,Corn,Major Exporters,Beginning Stocks,2.19,Million Metric Tons
2000-03-10,Corn,Major Exporters,Production,25.0,Million Metric Tons
2000-03-10,Corn,Major Exporters,Imports,0.1,Million Metric Tons
2000-03-10,Corn,Major Exporters,Feed,9.45,Million Metric Tons
2000-03-10,Corn,Major Exporters,Total Use,14.6,Million Metric Tons
2000-03-10,Corn,Major Exporters,Exports,10.2,Million Metric Tons
2000-03-10,Corn,Major Exporters,Ending Stocks,2.49,Million Metric Tons
2000-03-10,Corn,World,Beginning Stocks,109.25,Million Metric Tons
2000-03-10,Corn,World,Production,600.72,Million Metric Tons
2000-03-10,Corn,World,Imports,76.51,Million Metric Tons
2000-03-10,Corn,World,Feed,423.22,Million Metric Tons
2000-03-10,Corn,World,Total Use,601.35,Million Metric Tons
2000-03-10,Corn,World,Exports,80.34,Million Metric Tons
2000-03-10,Corn,World,Ending Stocks,108.63,Million Metric Tons
2000-03-10,"Meal, Soybeans",United States,Beginning Stocks,0.3,Million Metric Tons
2000-03-10,"Meal, Soybeans",United States,Production,34.51,Million Metric Tons
2000-03-10,"Meal, Soybeans",United States,Imports,0.05,Million Metric Tons
2000-03-10,"Meal, Soybeans",United States,Total Use,28.26,Million Metric Tons
2000-03-10,"Meal, Soybeans",United States,Exports,6.35,Million Metric Tons
2000-03-10,"Meal, Soybeans",United States,Ending Stocks,0.25,Million Metric Tons
2000-03-10,"Meal, Soybeans",Major Exporters,Beginning Stocks,1.41,Million Metric Tons
2000-03-10,"Meal, Soybeans",Major Exporters,Production,34.34,Million Metric Tons
2000-03-10,"Meal, Soybeans",Major Exporters,Imports,0.1,Million Metric Tons
2000-03-10,"Meal, Soybeans",Major Exporters,Total Use,8.8,Million Metric Tons
2000-03-10,"Meal, Soybeans",Major Exporters,Exports,25.88,Million Metric Tons
2000-03-10,"Meal, Soybeans",Major Exporters,Ending Stocks,1.16,Million Metric Tons
2000-03-10,"Meal, Soybeans",World,Beginning Stocks,4.38,Million Metric Tons
2000-03-10,"Meal, Soybeans",World,Production,106.32,Million Metric Tons
2000-03-10,"Meal, Soybeans",World,Imports,38.12,Million Metric Tons
2000-03-10,"Meal, Soybeans",World,Total Use,106.57,Million Metric Tons
2000-03-10,"Meal, Soybeans",World,Exports,38.52,Million Metric Tons
2000-03-10,"Meal, Soybeans",World,Ending Stocks,3.73,Million Metric Tons
2000-03-10,"Oil, Soybeans",United States,Beginning Stocks,0.69,Million Metric Tons
2000-03-10,"Oil, Soybeans",United States,Production,8.2,Million Metric Tons
2000-03-10,"Oil, Soybeans",United States,Imports,0.04,Million Metric Tons
2000-03-10,"Oil, Soybeans",United States,Total Use,7.26,Million Metric Tons
2000-03-10,"Oil, Soybeans",United States,Exports,0.7,Million Metric Tons
2000-03-10,"Oil, Soybeans",United States,Ending Stocks,0.97,Million Metric Tons
2000-03-10,"Oil, Soybeans",Major Exporters,Beginning Stocks,0.79,Million Metric Tons
2000-03-10,"Oil, Soybeans",Major Exporters,Production,9.76,Million Metric Tons
2000-03-10,"Oil, Soybeans",Major Exporters,Imports,0.77,Million Metric Tons
2000-03-10,"Oil, Soybeans",Major Exporters,Total Use,4.58,Million Metric Tons
2000-03-10,"Oil, Soybeans",Major Exporters,Exports,5.96,Million Metric Tons
2000-03-10,"Oil, Soybeans",Major Exporters,Ending Stocks,0.78,Million Metric Tons
2000-03-10,"Oil, Soybeans",World,Beginning Stocks,2.3,Million Metric Tons
2000-03-10,"Oil, Soybeans",World,Production,24.18,Million Metric Tons
2000-03-10,"Oil, Soybeans",World,Imports,7.4,Million Metric Tons
2000-03-10,"Oil, Soybeans",World,Total Use,24.2,Million Metric Tons
2000-03-10,"Oil, Soybeans",World,Exports,7.34,Million Metric Tons
2000-03-10,"Oil, Soybeans",World,Ending Stocks,2.34,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",United States,Beginning Stocks,9.48,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",United States,Production,71.93,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",United States,Imports,0.08,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",United States,Crush,43.54,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",United States,Total Use,47.88,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",United States,Exports,24.77,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",United States,Ending Stocks,8.85,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Argentina,Beginning Stocks,6.12,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Argentina,Production,20.0,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Argentina,Imports,0.5,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Argentina,Crush,17.8,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Argentina,Total Use,18.47,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Argentina,Exports,3.75,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Argentina,Ending Stocks,4.4,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Brazil,Beginning Stocks,6.0,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Brazil,Production,30.5,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Brazil,Imports,0.7,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Brazil,Crush,20.9,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Brazil,Total Use,23.1,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Brazil,Exports,9.3,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",Brazil,Ending Stocks,4.8,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",World,Beginning Stocks,24.0,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",World,Production,153.51,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",World,Imports,42.33,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",World,Crush,134.32,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",World,Total Use,157.14,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",World,Exports,42.1,Million Metric Tons
2000-03-10,"OilSeed, Soybeans",World,Ending Stocks,20.57,Million Metric Tons
2000-03-10,Wheat,United States,Beginning Stocks,25.74,Million Metric Tons
2000-03-10,Wheat,United States,Production,62.66,Million Metric Tons
2000-03-10,Wheat,United States,Imports,2.59,Million Metric Tons
2000-03-10,Wheat,United States,Feed,8.17,Million Metric Tons
2000-03-10,Wheat,United States,Total Use,35.27,Million Metric Tons
2000-03-10,Wheat,United States,Exports,28.58,Million Metric Tons
