Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2010-09-28,396789,84610,15408,69202,17.441
2010-10-05,383139,91076,11695,79381,20.719
2010-10-12,407654,83365,9088,74277,18.221
2010-10-19,424199,84123,9787,74336,17.524
2010-10-26,447561,80507,10570,69937,15.626
2010-11-02,467877,83275,11836,71439,15.269
2010-11-09,497696,74843,14448,60395,12.135
2010-11-16,480888,62615,11337,51278,10.663
2010-11-23,479154,55375,10490,44885,9.368
2010-11-30,398807,54324,10460,43864,10.999
2010-12-07,424594,61503,12781,48722,11.475
2010-12-14,439474,66660,12247,54413,12.381
2010-12-21,443967,68421,11380,57041,12.848
2010-12-28,429409,67584,10623,56961,13.265
2011-01-04,438899,67123,10964,56159,12.795
2011-01-11,448075,68126,10975,57151,12.755
2011-01-18,460591,71852,10699,61153,13.277
2011-01-25,466701,63573,14226,49347,10.574
2011-02-01,491175,80962,10066,70896,14.434
2011-02-08,503024,87386,9511,77875,15.481
2011-02-15,490148,77394,14919,62475,12.746
2011-02-22,439190,66879,18501,48378,11.015
2011-03-01,439456,75092,15447,59645,13.572
2011-03-08,447828,75972,10799,65173,14.553
2011-03-15,465171,58516,15071,43445,9.34
2011-03-22,432544,58541,15174,43367,10.026
2011-03-29,445532,62789,12914,49875,11.194
2011-04-05,470843,77127,14686,62441,13.262
2011-04-12,460522,72243,14407,57836,12.559
2011-04-19,442448,70528,13830,56698,12.815
2011-04-26,409262,71784,14759,57025,13.934
2011-05-03,393035,67069,17030,50039,12.731
2011-05-10,383144,51801,20812,30989,8.088
2011-05-17,387293,50064,23666,26398,6.816
2011-05-24,389434,59479,17912,41567,10.674
2011-05-31,394319,67671,13546,54125,13.726
2011-06-07,403818,75472,12771,62701,15.527
2011-06-14,397121,65678,20581,45097,11.356
2011-06-21,397411,60039,23887,36152,9.097
2011-06-28,332449,52518,25315,27203,8.183
2011-07-05,328507,48542,32708,15834,4.82
2011-07-12,325971,52047,24114,27933,8.569
2011-07-19,344290,57740,22282,35458,10.299
2011-07-26,320975,51465,24442,27023,8.419
2011-08-02,328367,54166,27039,27127,8.261
2011-08-09,334757,40208,42717,-2509,0.749
2011-08-16,330263,40430,39913,517,0.157
2011-08-23,327128,42327,29578,12749,3.897
2011-08-30,323377,57301,12346,44955,13.902
2011-09-06,324762,61258,11597,49661,15.292
2011-09-13,338985,59372,12317,47055,13.881
2011-09-20,334341,53707,20272,33435,10.0
2011-09-27,343155,46227,33834,12393,3.611
2011-10-04,374395,43111,42882,229,0.061
2011-10-11,373211,45017,52481,-7464,2.0
2011-10-18,371213,44484,45554,-1070,0.288
2011-10-25,380477,40046,51455,-11409,2.999
2011-11-01,386447,40794,54892,-14098,3.648
2011-11-08,372493,43657,51622,-7965,2.138
2011-11-15,365937,44965,48528,-3563,0.974
2011-11-22,385822,38437,55166,-16729,4.336
2011-11-29,367164,43080,57159,-14079,3.835
2011-12-06,362220,47790,57639,-9849,2.719
2011-12-13,363495,47941,57200,-9259,2.547
2011-12-20,354317,48557,59830,-11273,3.182
2011-12-27,334218,46953,49056,-2103,0.629
2012-01-03,322173,47288,36556,10732,3.331
2012-01-10,331673,51830,37233,14597,4.401
2012-01-17,345511,43228,50757,-7529,2.179
2012-01-24,366993,49951,62710,-12759,3.477
2012-01-31,376334,49819,67169,-17350,4.61
2012-02-07,369025,53246,55751,-2505,0.679
2012-02-14,371970,57049,42954,14095,3.789
2012-02-21,376981,64095,36466,27629,7.329
2012-02-28,350352,69155,31878,37277,10.64
2012-03-06,356431,61423,40350,21073,5.912
2012-03-13,387146,69527,44837,24690,6.377
2012-03-20,396345,73215,41118,32097,8.098
2012-03-27,414479,71815,42796,29019,7.001
2012-04-03,415254,76075,38142,37933,9.135
2012-04-10,451506,90929,36666,54263,12.018
2012-04-17,446749,84539,34289,50250,11.248
2012-04-24,417438,80349,37413,42936,10.286
2012-05-01,408130,72666,47258,25408,6.225
2012-05-08,431664,64765,53007,11758,2.724
2012-05-15,448414,50498,61634,-11136,2.483
2012-05-22,467023,45006,65932,-20926,4.481
2012-05-29,470165,41237,69699,-28462,6.054
2012-06-05,477593,38854,73126,-34272,7.176
2012-06-12,476068,44699,76399,-31700,6.659
2012-06-19,462321,47060,75535,-28475,6.159
2012-06-26,399083,41579,63367,-21788,5.46
2012-07-03,391287,45482,57420,-11938,3.051
2012-07-10,392116,50938,44451,6487,1.654
2012-07-17,399378,51125,41099,10026,2.51
2012-07-24,380006,44284,41315,2969,0.781
2012-07-31,375015,49314,39073,10241,2.731
2012-08-07,383411,49891,48370,1521,0.397
2012-08-14,385087,50171,35684,14487,3.762
2012-08-21,391665,61321,30269,31052,7.928
2012-08-28,391175,70014,23882,46132,11.793
2012-09-04,400783,74669,20492,54177,13.518
2012-09-11,381152,74345,21498,52847,13.865
2012-09-18,364847,66555,18787,47768,13.093
2012-09-25,341651,54472,19997,34475,10.091
2012-10-02,358453,45539,29741,15798,4.407
2012-10-09,380557,44620,38948,5672,1.49
2012-10-16,399354,40340,52309,-11969,2.997
2012-10-23,393432,39196,55816,-16620,4.224
2012-10-30,387813,42783,65604,-22821,5.885
2012-11-06,435951,40205,76058,-35853,8.224
2012-11-13,447855,37019,81159,-44140,9.856
2012-11-20,426242,33034,86455,-53421,12.533
2012-11-27,370218,36172,85327,-49155,13.277
2012-12-04,361309,39123,82248,-43125,11.936
2012-12-11,360381,44488,73094,-28606,7.938
2012-12-18,368699,44402,76910,-32508,8.817
2012-12-24,353164,42581,85005,-42424,12.013
2012-12-31,344337,41804,83404,-41600,12.081
2013-01-08,343794,41686,78702,-37016,10.767
2013-01-15,360034,41410,73905,-32495,9.026
2013-01-22,361600,51194,61190,-9996,2.764
2013-01-29,361369,55396,58110,-2714,0.751
2013-02-05,373905,61233,53814,7419,1.984
2013-02-12,381490,51938,63980,-12042,3.157
2013-02-19,372877,50884,64190,-13306,3.568
2013-02-26,355022,41732,83429,-41697,11.745
2013-03-05,361249,36795,91906,-55111,15.256
2013-03-12,365440,41428,92005,-50577,13.84
2013-03-19,381703,43900,93076,-49176,12.883
2013-03-26,377229,50592,82140,-31548,8.363
2013-04-02,383549,48554,81843,-33289,8.679
2013-04-09,407260,47243,90453,-43210,10.61
2013-04-16,408373,47873,90214,-42341,10.368
2013-04-23,404688,51033,84758,-33725,8.334
2013-04-30,375540,56200,81488,-25288,6.734
2013-05-07,382289,57002,78832,-21830,5.71
2013-05-14,381834,59451,72618,-13167,3.448
2013-05-21,391895,57989,68998,-11009,2.809
2013-05-28,396958,59758,65387,-5629,1.418
2013-06-04,407723,55144,76184,-21040,5.16
2013-06-11,407184,56741,75844,-19103,4.691
2013-06-18,393039,57945,79937,-21992,5.595
2013-06-25,363708,56232,84204,-27972,7.691
2013-07-02,367255,52789,88613,-35824,9.755
2013-07-09,367860,54186,92236,-38050,10.344
2013-07-16,378189,53065,89170,-36105,9.547
2013-07-23,382575,48865,96358,-47493,12.414
2013-07-30,366575,49912,93716,-43804,11.95
2013-08-06,356336,50558,105074,-54516,15.299
2013-08-13,355432,51639,99910,-48271,13.581
2013-08-20,340979,53638,88642,-35004,10.266
2013-08-27,326771,53645,71280,-17635,5.397
2013-09-03,319881,53182,68934,-15752,4.924
2013-09-10,322210,51228,68701,-17473,5.423
2013-09-17,327856,49200,71973,-22773,6.946
2013-09-24,332467,50466,75047,-24581,7.394
2013-10-01,346017,48616,75083,-26467,7.649
2013-10-08,345712,48609,74593,-25984,7.516
2013-10-15,348570,44196,71933,-27737,7.957
2013-10-22,364389,47571,68130,-20559,5.642
2013-10-29,367273,48695,67309,-18614,5.068
2013-11-05,371848,46154,65737,-19583,5.266
2013-11-12,377183,47164,70256,-23092,6.122
2013-11-19,382274,44772,77131,-32359,8.465
2013-11-26,359489,45410,72100,-26690,7.424
2013-12-03,367320,44319,80273,-35954,9.788
2013-12-10,374086,41772,83488,-41716,11.151
2013-12-17,379546,42982,84932,-41950,11.053
2013-12-24,372123,42621,86631,-44010,11.827
2013-12-31,361655,42385,89034,-46649,12.899
2014-01-07,372673,42885,92914,-50029,13.424
2014-01-14,392331,48965,109624,-60659,15.461
2014-01-21,405774,49664,114201,-64537,15.905
2014-01-28,406499,46854,109866,-63012,15.501
2014-02-04,400437,43925,103066,-59141,14.769
2014-02-11,379777,41886,90319,-48433,12.753
2014-02-18,384216,46355,79951,-33596,8.744
2014-02-25,333506,48793,66560,-17767,5.327
2014-03-04,338189,54030,58013,-3983,1.178
2014-03-11,346147,66233,40851,25382,7.333
2014-03-18,346861,73059,39586,33473,9.65
2014-03-25,344112,68068,46370,21698,6.306
2014-04-01,361712,64256,52392,11864,3.28
2014-04-08,376121,61189,50618,10571,2.811
2014-04-15,388997,66361,41681,24680,6.345
2014-04-22,373968,66782,37048,29734,7.951
2014-04-29,340784,69725,35002,34723,10.189
2014-05-06,354329,66296,43130,23166,6.538
2014-05-13,350380,68151,50071,18080,5.16
2014-05-20,357270,64159,62919,1240,0.347
2014-05-27,354371,65784,64407,1377,0.389
2014-06-03,380142,64135,78253,-14118,3.714
2014-06-10,392647,60815,80375,-19560,4.982
2014-06-17,392254,63486,78129,-14643,3.733
2014-06-24,364536,68788,63292,5496,1.508
2014-07-01,351650,72931,56125,16806,4.779
2014-07-08,357344,70239,61534,8705,2.436
2014-07-15,376430,66719,65927,792,0.21
2014-07-22,391228,65125,72796,-7671,1.961
2014-07-29,372256,67014,74450,-7436,1.998
2014-08-05,369890,68318,72013,-3695,0.999
2014-08-12,389769,65701,81210,-15509,3.979
2014-08-19,421935,66115,81270,-15155,3.592
2014-08-26,413470,63477,79172,-15695,3.796
2014-09-02,418653,65351,83381,-18030,4.307
2014-09-09,432643,64908,86208,-21300,4.923
2014-09-16,432875,67491,80946,-13455,3.108
2014-09-23,450686,68959,73989,-5030,1.116
2014-09-30,430974,67280,73268,-5988,1.389
2014-10-07,435950,66594,62725,3869,0.887
2014-10-14,451320,67931,63159,4772,1.057
2014-10-21,457896,70373,66532,3841,0.839
2014-10-28,454475,71024,57354,13670,3.008
2014-11-04,465741,72511,47845,24666,5.296
2014-11-11,456232,68488,57433,11055,2.423
2014-11-18,458159,68872,60605,8267,1.804
2014-11-25,407617,74588,53601,20987,5.149
2014-12-02,413809,72159,59820,12339,2.982
2014-12-09,406681,70912,58670,12242,3.01
2014-12-16,400467,71282,52464,18818,4.699
2014-12-23,388078,70926,50235,20691,5.332
2014-12-30,384384,78215,43168,35047,9.118
2015-01-06,385769,79754,41459,38295,9.927
2015-01-13,386062,84478,35308,49170,12.736
2015-01-20,392546,85848,33880,51968,13.239
2015-01-27,421112,75290,52836,22454,5.332
2015-02-03,447550,63571,66213,-2642,0.59
2015-02-10,429661,60603,53028,7575,1.763
2015-02-17,427947,68880,40717,28163,6.581
2015-02-24,395007,67452,42701,24751,6.266
2015-03-03,386889,79595,36130,43465,11.234
2015-03-10,396328,72039,51634,20405,5.149
2015-03-17,413076,65800,62108,3692,0.894
2015-03-24,412662,64502,60354,4148,1.005
2015-03-31,419039,66410,68358,-1948,0.465
2015-04-07,408666,69278,62261,7017,1.717
2015-04-14,408589,73148,55488,17660,4.322
2015-04-21,419094,70695,49046,21649,5.166
2015-04-28,410383,73354,56581,16773,4.087
2015-05-05,411477,82763,45825,36938,8.977
2015-05-12,424056,81623,40623,41000,9.669
2015-05-19,431604,73733,45977,27756,6.431
2015-05-26,432561,75950,47379,28571,6.605
2015-06-02,449051,86189,26559,59630,13.279
2015-06-09,463167,89587,24323,65264,14.091
2015-06-16,453141,79687,39994,39693,8.76
