Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2017-09-19,1785555,215566,350172,-134606,7.539
2017-09-26,1756920,217488,350930,-133442,7.595
2017-10-03,1804698,214312,357513,-143201,7.935
2017-10-10,1833377,210583,373520,-162937,8.887
2017-10-17,1869045,204834,375518,-170684,9.132
2017-10-24,1932939,207036,381430,-174394,9.022
2017-10-31,1970091,193958,396721,-202763,10.292
2017-11-07,2009799,202042,407666,-205624,10.231
2017-11-14,2127835,203814,434370,-230556,10.835
2017-11-21,2082562,214241,424707,-210466,10.106
2017-11-28,1856263,214942,411705,-196763,10.6
2017-12-05,1792019,228484,389003,-160519,8.957
2017-12-12,1836183,207182,404374,-197192,10.739
2017-12-19,1880411,207122,429275,-222153,11.814
2017-12-26,1852922,209616,416240,-206624,11.151
2018-01-02,1851952,210518,409094,-198576,10.723
2018-01-09,1915789,201438,423954,-222516,11.615
2018-01-16,1979732,211296,438172,-226876,11.46
2018-01-23,2038080,207898,427574,-219676,10.779
2018-01-30,2093775,239369,370311,-130942,6.254
2018-02-06,2132218,250148,333072,-82924,3.889
2018-02-13,2104949,258602,269216,-10614,0.504
2018-02-20,2128714,266270,247596,18674,0.877
2018-02-27,1986305,285058,225938,59120,2.976
2018-03-06,2149942,349582,186048,163534,7.606
2018-03-13,2323591,380552,147489,233063,10.03
2018-03-20,2310613,370555,157324,213231,9.228
2018-03-27,2315457,313238,196327,116911,5.049
2018-04-03,2403876,326893,186706,140187,5.832
2018-04-10,2448431,329989,155102,174887,7.143
2018-04-17,2382243,302072,163828,138244,5.803
2018-04-24,2259200,307162,184285,122877,5.439
2018-05-01,2318130,339128,152811,186317,8.037
2018-05-08,2362419,343355,131463,211892,8.969
2018-05-15,2406162,338307,146635,191672,7.966
2018-05-22,2488853,353430,153460,199970,8.035
2018-05-29,2511087,354067,151640,202427,8.061
2018-06-05,2558208,330382,216783,113599,4.441
2018-06-12,2566347,323123,286907,36216,1.411
2018-06-19,2635956,313633,327671,-14038,0.533
2018-06-26,2386393,307459,367778,-60319,2.528
2018-07-03,2360868,295137,365947,-70810,2.999
2018-07-10,2352719,280906,385282,-104376,4.436
2018-07-17,2409890,268103,397426,-129323,5.366
2018-07-24,2470639,277329,407526,-130197,5.27
2018-07-31,2369980,313213,365411,-52198,2.202
2018-08-07,2287244,287516,317221,-29705,1.299
2018-08-14,2227303,270190,295152,-24962,1.121
2018-08-21,2207245,267299,282123,-14824,0.672
2018-08-28,2049082,256961,313918,-56957,2.78
2018-09-04,2058661,275305,332189,-56884,2.763
2018-09-11,2085115,265515,328985,-63470,3.044
2018-09-18,2162153,237352,378628,-141276,6.534
2018-09-25,2127915,248399,361178,-112779,5.3
2018-10-02,2101050,247873,305637,-57764,2.749
2018-10-09,2069913,250237,284269,-34032,1.644
2018-10-16,2063836,253569,233415,20154,0.977
2018-10-23,2080617,252969,227588,25381,1.22
2018-10-30,2069827,243097,228828,14269,0.689
2018-11-06,2139071,247727,221098,26629,1.245
2018-11-13,2154088,238615,220634,17981,0.835
2018-11-20,2138019,219280,227125,-7845,0.367
2018-11-27,1918320,221361,243509,-22148,1.155
2018-12-04,1883246,275973,222228,53745,2.854
2018-12-11,1900969,277727,179110,98617,5.188
2018-12-18,1903441,293035,164858,128177,6.734
2018-12-24,1856868,271253,173441,97812,5.268
2018-12-31,1880756,255007,198941,56066,2.981
2019-01-08,1923679,265315,190121,75194,3.909
2019-01-15,1958642,242736,215277,27459,1.402
2019-01-22,1989188,240887,196529,44358,2.23
2019-01-29,2018548,215859,209598,6261,0.31
2019-02-05,2070787,226093,211723,14370,0.694
2019-02-12,2104872,230451,245144,-14693,0.698
2019-02-19,2145138,211462,297737,-86275,4.022
2019-02-26,1973341,224514,328973,-104459,5.294
2019-03-05,2011395,216988,393765,-176777,8.789
2019-03-12,2150365,204451,462416,-257965,11.996
2019-03-19,2223346,199328,460654,-261326,11.754
2019-03-26,2202441,201979,405393,-203414,9.236
2019-04-02,2217004,184886,431621,-246735,11.129
2019-04-09,2165129,181710,453456,-271746,12.551
2019-04-16,2233832,184184,491713,-307529,13.767
2019-04-23,2294839,184240,506455,-322215,14.041
2019-04-30,2025935,193669,500368,-306699,15.139
2019-05-07,2033686,199907,482234,-282327,13.883
2019-05-14,2117253,194694,477612,-282918,13.363
2019-05-21,2361019,225444,342173,-116729,4.944
2019-05-28,2495825,236138,256874,-20736,0.831
2019-06-04,2549467,240884,153641,87243,3.422
2019-06-11,2573005,243843,132631,111212,4.322
2019-06-18,2708872,254850,111335,143515,5.298
2019-06-25,2379990,284249,96320,187929,7.896
2019-07-02,2319482,284974,103326,181648,7.831
2019-07-09,2382235,289991,102823,187168,7.857
2019-07-16,2424021,284799,97539,187260,7.725
2019-07-23,2399315,267288,114072,153216,6.386
2019-07-30,2295213,246009,134057,111952,4.878
2019-08-06,2348072,228926,149419,79507,3.386
2019-08-13,2351921,210926,166413,44513,1.893
2019-08-20,2327438,180200,236641,-56441,2.425
2019-08-27,2032700,170237,264374,-94137,4.631
2019-09-03,1989742,167410,286781,-119371,5.999
2019-09-10,2075792,174226,310625,-136399,6.571
2019-09-17,2070638,162646,333272,-170626,8.24
